word,valence,arousal,dominance,Publication,Political Compass/Theme
moment,0.663551401853437,0.5351629502186303,0.6893203883678951,The Daily Mail,Right-Wing
dad,0.8224299066272163,0.4219554030866842,0.6504854368592704,The Daily Mail,Right-Wing
beat,0.551401869137916,0.6380789022550009,0.427184466012348,The Daily Mail,Right-Wing
live,0.6261682243750546,0.6419382504544351,0.8058252427481383,The Daily Mail,Right-Wing
speech,0.5981308411961743,0.5145797598731056,0.6699029126863982,The Daily Mail,Right-Wing
amid,0.5887850467564852,0.2881646654548397,0.6213592232642096,The Daily Mail,Right-Wing
pension,0.682242990732815,0.4425385934322087,0.4563106796074087,The Daily Mail,Right-Wing
reform,0.570093458017294,0.5145797598731056,0.572815533987652,The Daily Mail,Right-Wing
protest,0.4112149532435147,0.8953687822687406,0.6116504854962768,The Daily Mail,Right-Wing
moment,0.663551401853437,0.5351629502186303,0.6893203883678951,The Daily Mail,Right-Wing
soldier,0.4205607476832037,0.6483704975049501,0.3495145631407296,The Daily Mail,Right-Wing
russian,0.4976635514251244,0.4586192109813093,0.4757281552889056,The Daily Mail,Right-Wing
tank,0.4205607476832037,0.6483704975049501,0.4563106796074087,The Daily Mail,Right-Wing
missile,0.2873831775835226,0.7204116637914731,0.2233009708469224,The Daily Mail,Right-Wing
soldier,0.4205607476832037,0.6483704975049501,0.3495145631407296,The Daily Mail,Right-Wing
oh,0.5151869159119246,0.5358061749699938,0.5436893203925912,The Daily Mail,Right-Wing
people,0.6991822430233262,0.6586620926005254,0.4368932039259119,The Daily Mail,Right-Wing
react,0.5940420561025253,0.6515866209530207,0.6116504854962768,The Daily Mail,Right-Wing
tongue,0.5233644859590357,0.6792452831004239,0.6796116504543313,The Daily Mail,Right-Wing
suck,0.4450934579647239,0.8027444254823193,0.417475728098784,The Daily Mail,Right-Wing
video,0.6915887850323172,0.6380789022550009,0.6796116504543313,The Daily Mail,Right-Wing
northern,0.682242990732815,0.2469982847637905,0.5782766990367258,The Daily Mail,Right-Wing
speech,0.5981308411961743,0.5145797598731056,0.6699029126863982,The Daily Mail,Right-Wing
dramatic,0.4205607476832037,0.6895368781959993,0.3203883495456688,The Daily Mail,Right-Wing
moment,0.663551401853437,0.5351629502186303,0.6893203883678951,The Daily Mail,Right-Wing
pension,0.682242990732815,0.4425385934322087,0.4563106796074087,The Daily Mail,Right-Wing
try,0.7079439252667263,0.5866209263140025,0.8155339806617022,The Daily Mail,Right-Wing
tackle,0.4672897196012751,0.7191252144431196,0.5339805824790272,The Daily Mail,Right-Wing
moment,0.663551401853437,0.5351629502186303,0.6893203883678951,The Daily Mail,Right-Wing
push,0.5981308411961743,0.411663807836735,0.6310679611777735,The Daily Mail,Right-Wing
aside,0.5233644859590357,0.339622641550212,0.4757281552889056,The Daily Mail,Right-Wing
hug,0.8878504672844789,0.4734133790276825,0.5048543688839664,The Daily Mail,Right-Wing
female,0.6904205607799261,0.5545353646978001,0.6601941747728344,The Daily Mail,Right-Wing
diplomat,0.5140186916595335,0.4322469983366334,0.5533980583061551,The Daily Mail,Right-Wing
prince,0.6542056075539348,0.5042881646231564,0.5922330096691487,The Daily Express,Right-Wing
king,0.5327102803987247,0.6544243769910972,0.6310679611777735,The Daily Express,Right-Wing
row,0.4205607476832037,0.6033447684600929,0.5339805824790272,The Daily Express,Right-Wing
money,0.8037383177478382,0.7924528302323699,0.6875000000182038,The Daily Express,Right-Wing
new,0.7692757009705269,0.4939965695275811,0.5825242719012159,The Daily Express,Right-Wing
